text,true_emotion,predicted_emotion_base,predicted_emotion_1shot,status
"(Sam) Brown's Law: Never offend people with style when you can fake that, you have to break us in this Island.",anger,anger,anger,no_change
Sorry guys I have absolutely no idea what time i'll be on cam tomorrow but will keep you posted. #fuming,anger,anger,anger,no_change
@fluffysoftlouis no no. I insist that you give me your best insult first,anger,joy,anger,improved
Sorry guys I have absolutely no idea what time i'll be on cam tomorrow but will keep you posted. ,anger,sadness,joy,no_change
"Kik to trade, have fun or a conversation  (kik: youraffair) #kik #kikme #messageme #textme #pics #trade #tradepics #dm  #bored",anger,joy,joy,no_change
Literally fuming fuck sake,anger,anger,anger,no_change
Eat my ass' is no longer an insult,anger,joy,anger,improved
Ok scrubbed hands 5 times before trying to put them in.\nEyeballs #burning \n#EvenMoreBlind accidentally scared the #cat whilst #screeching,anger,fear,fear,no_change
"I think our defense here at USC is playing well, we just need to fix a few things on offense and we can win the PAC 12 this year'",anger,joy,joy,no_change
"Just watched Django Unchained, Other people may frown, but I titter in delight! 2/5",anger,joy,joy,no_change
@RevTrevK @Wolfman93011 @Daraidernation @EROCKhd Take 2k out of it the numbers on madden are low and have dropped and people are unhappy,anger,anger,anger,no_change
Just joined #pottermore and was sorted into HUFFLEPUFF 😡😡😡 #fuming,anger,anger,anger,no_change
"@huwellwell One chosen by the CLP members! MP seats are not for people to dole out to their mates, we elect candidates. ",anger,anger,anger,no_change
"@CozanGaming that's what lisa asked before she started raging at me, 'can I call you?' heh",anger,anger,anger,no_change
"Is it me, or is Ding wearing the look of a man who's just found his arch enemy in bed with his missus? #angryman ",anger,anger,anger,no_change
"Me being on my dean really saving a lot of ppl, bc I don't snap nomore &amp; it take so much out of me..",anger,sadness,sadness,no_change
@RealJamesWoods @KennyCoble saddest part of this whole mess is that all of this #anger is #misdirected they should march 2 the #WhiteHouse,anger,anger,anger,no_change
"@HomeSwapperteam  Spent months arranging swap , new jobs etc, now I've found out she's been leading me on a merry dance. #fuming with her",anger,anger,anger,no_change
S/O to the girl that just hit my car...not only did she get lucky w/ no scratch but also from being spared the wrath of sleep deprived Kait🙃,anger,anger,anger,no_change
#oow16 #sting decent new song,anger,joy,joy,no_change
@All4 is the android app it designed to be buggy and work sporadically on a fire TV box? ,fear,anger,anger,no_change
The moment you bring her to meet your best friend and you're nervous af! 😬😆  #thefriendtest,fear,joy,fear,improved
@joey_coops yes Hun! Avoid at all costs!! ,fear,anger,anger,no_change
@joey_coops yes Hun! Avoid at all costs!! #nightmare,fear,anger,fear,improved
The Apocalypse has hit our gym and it's  nothing what I thought it would be...\n\nEveryone is wearing vests! What if it's contagious? #afraid,fear,fear,fear,no_change
"By officialy adopting #BurhanWani, a #Hizbul terrorist, #Pakistan n #NawazSharif hv md a cardinal mistake 2day tht'll haunt fr years. #UNGA",fear,anger,anger,no_change
"@AlaskaGurus @adventuretweets agreed! 😍 an awe to meet such beautiful, powerful animals.",fear,joy,joy,no_change
When you're scared to press send #bgoodthepoet #PrayForMe #ThisIsAGodDream #career #help #fear #heart #HeartRacing,fear,fear,fear,no_change
@CNNPolitics I can't wait to hear what he had to say about the brilliant Dr. Hawking... it should be rich... In the poorest of taste! ,fear,anger,anger,no_change
Whatt a trailerrrr !!! @karanjohar @AnushkaSharma #RanbirKapoor #AishwaryaRaiBachchan i am COMPLETELY BLOWN !! #awestruck #longingformore,fear,joy,joy,no_change
@SAHARTHERAPPER I unfollowed without hesitation &lt;3,fear,joy,joy,no_change
You want  bad service use #frontier they have #terrible service. Go to #AT&amp;T anybody is better. I am going to complain to better business,fear,anger,anger,no_change
"Gahh...BT, in queue for 30 minutes.. Now put through to BT Sport dept to cancel... back in a queue again... ",fear,anger,anger,no_change
"Are you worrying/worried?\n1Peter 5:7\nThrow all your worry on him, because he cares for you.#faith #leadership #worry #mindfulness #success",fear,fear,fear,no_change
Staff on @ryainair FR1005. Asked for info and told to look online. You get what you pay for. #Ryanair @STN_Airport #Compensation ,fear,anger,anger,no_change
@BuzzFeed so this houses will get into my instestines and scare my poop and I'll shit my pants?,fear,fear,fear,no_change
@hollywooddivas @TMZ_Sports Idiots like Larry Sanders scare us All!How can Morons these days Rush 2 Judge #Police w/o all facts yet?FU thugs,fear,anger,anger,no_change
@TheDappaMc also £2.50 for a chocolate Feast ice lolly.. proper shocking 😩,fear,anger,anger,no_change
"At school, my classmate is with me at music class and he sang Hallelujah like, god, with my friend we were breathless.",fear,joy,joy,no_change
That's an awful miss from Rooney.,fear,sadness,sadness,no_change
@hesham786 that's the spirit ,joy,joy,joy,no_change
"@airtelindia have some issues with my broadband bill ,I am charged for the month before I signed up with airtel.. ",joy,anger,anger,no_change
@Bluebelle89 @lsmith855 liking the optimism,joy,joy,joy,no_change
Each day is what you make of it! #goals #challenges #business #goals #optimism #happy #success #photographer #photography #ThursdayThoughts,joy,joy,joy,no_change
"If yiu don't respond .o an email within 7 days, you willxbe killed by an animated gif of the girl froa The Ri.g.",joy,fear,fear,no_change
@chencouture LMAO Is it that 'so slutty' hater girl? That video was hilarious. 😂,joy,joy,joy,no_change
4-2 Canada final tomorrow #WCH #Predictions #optimism #Canadian 🇨🇦,joy,joy,joy,no_change
"If any trump supporters and Hillary haters wanna chirp some weak minded, pandering liberals just tweet at @EmmyA2 @snickerfritz04",joy,anger,anger,no_change
"@theclobra lol I thought maybe, couldn't decide if there was levity or not",joy,joy,joy,no_change
@billie21806 @cnnbrk tell that to your bodies cheering on the deaths of black people by cops. their fear is killing us.,joy,anger,fear,no_change
Chris would take full responsibility and would want us all to rejoice in the memories we all had with him.,joy,joy,joy,no_change
@tomlinmayniac starting my new challenge ! A glee poll every day !,joy,joy,joy,no_change
Nawaz Sharif is getting more funnier than @kapilsharmak9 day by day.  #challenge #kashmir #baloch,joy,joy,joy,no_change
